ProbeID	miRNA_name
20500739	hsa-miR-133a-3p
20500740	hsa-miR-135a-5p
20500741	hsa-miR-135a-3p
20500742	hsa-miR-137
20500743	hsa-miR-138-5p
20500744	hsa-miR-138-2-3p
20500745	hsa-miR-140-5p
20500746	hsa-miR-140-3p
20500747	hsa-miR-141-5p
20500748	hsa-miR-141-3p
20500749	hsa-miR-142-5p
20500750	hsa-miR-142-3p
20500751	hsa-miR-143-5p
20500752	hsa-miR-143-3p
20500753	hsa-miR-144-5p
20500754	hsa-miR-144-3p
20500755	hsa-miR-145-5p
20500756	hsa-miR-145-3p
20500757	hsa-miR-152-5p
20500758	hsa-miR-152-3p
20500759	hsa-miR-153-3p
20500760	hsa-miR-153-5p
20500761	hsa-miR-191-5p
20500762	hsa-miR-191-3p
20500763	hsa-miR-9-5p
20500764	hsa-miR-9-3p
20500765	hsa-miR-125a-5p
20500766	hsa-miR-125a-3p
20500767	hsa-miR-125b-2-3p
20500768	hsa-miR-126-5p
20500769	hsa-miR-126-3p
20500770	hsa-miR-127-5p
20500771	hsa-miR-127-3p
20500772	hsa-miR-129-2-3p
20500773	hsa-miR-134-5p
20500774	hsa-miR-134-3p
20500775	hsa-miR-136-5p
20500776	hsa-miR-136-3p
20500777	hsa-miR-138-1-3p
20500778	hsa-miR-146a-5p
20500779	hsa-miR-146a-3p
20500780	hsa-miR-149-5p
20500781	hsa-miR-149-3p
20500782	hsa-miR-150-5p
20500783	hsa-miR-150-3p
20500784	hsa-miR-154-5p
20500785	hsa-miR-154-3p
20500786	hsa-miR-184
20500787	hsa-miR-185-5p
20500788	hsa-miR-185-3p
20500789	hsa-miR-186-5p
20500790	hsa-miR-186-3p
20500791	hsa-miR-188-5p
20500792	hsa-miR-188-3p
20500793	hsa-miR-190a-5p
20500794	hsa-miR-190a-3p
20500795	hsa-miR-193a-5p
20500796	hsa-miR-193a-3p
20500797	hsa-miR-194-5p
20500798	hsa-miR-195-5p
20500799	hsa-miR-195-3p
20500800	hsa-miR-206
20500848	hsa-miR-320a
20501035	hsa-miR-200c-5p
20501036	hsa-miR-200c-3p
20501083	hsa-miR-155-5p
20501084	hsa-miR-155-3p
20501147	hsa-miR-128-2-5p
20501155	hsa-miR-194-3p
20501157	hsa-miR-106b-5p
20501158	hsa-miR-106b-3p
20501159	hsa-miR-29c-5p
20501160	hsa-miR-29c-3p
20501161	hsa-miR-30c-1-3p
20501162	hsa-miR-200a-5p
20501163	hsa-miR-200a-3p
20501164	hsa-miR-302a-5p
20501165	hsa-miR-302a-3p
20501166	hsa-miR-219a-2-3p
20501168	hsa-miR-34b-5p
20501169	hsa-miR-34b-3p
20501170	hsa-miR-34c-5p
20501171	hsa-miR-34c-3p
20501172	hsa-miR-299-5p
20501173	hsa-miR-299-3p
20501174	hsa-miR-301a-5p
20501175	hsa-miR-301a-3p
20501176	hsa-miR-99b-5p
20501177	hsa-miR-99b-3p
20501178	hsa-miR-296-5p
20501179	hsa-miR-296-3p
20501180	hsa-miR-130b-5p
20501181	hsa-miR-130b-3p
20501182	hsa-miR-30e-5p
20501183	hsa-miR-30e-3p
20501184	hsa-miR-26a-2-3p
20501197	hsa-miR-361-5p
20501198	hsa-miR-361-3p
20501201	hsa-miR-362-5p
20501202	hsa-miR-362-3p
20501205	hsa-miR-363-5p
20501206	hsa-miR-363-3p
20501209	hsa-miR-365a-5p
20501210	hsa-miR-365a-3p
20501213	hsa-miR-365b-5p
20501214	hsa-miR-365b-3p
20501215	hsa-miR-302b-5p
20501216	hsa-miR-302b-3p
20501217	hsa-miR-302c-5p
20501218	hsa-miR-302c-3p
20501219	hsa-miR-302d-5p
20501220	hsa-miR-302d-3p
20501221	hsa-miR-367-5p
20501222	hsa-miR-367-3p
20501223	hsa-miR-376c-5p
20501224	hsa-miR-376c-3p
20501225	hsa-miR-369-5p
20501226	hsa-miR-369-3p
20501227	hsa-miR-370-5p
20501228	hsa-miR-370-3p
20501229	hsa-miR-371a-5p
20501230	hsa-miR-371a-3p
20501231	hsa-miR-372-5p
20501232	hsa-miR-372-3p
20501233	hsa-miR-373-5p
20501234	hsa-miR-373-3p
20501235	hsa-miR-374a-5p
20501236	hsa-miR-374a-3p
20501237	hsa-miR-375
20501238	hsa-miR-376a-5p
20501239	hsa-miR-376a-3p
20501240	hsa-miR-377-5p
20501241	hsa-miR-377-3p
20501242	hsa-miR-378a-5p
20501243	hsa-miR-378a-3p
20501244	hsa-miR-379-5p
20501245	hsa-miR-379-3p
20501246	hsa-miR-380-5p
20501247	hsa-miR-380-3p
20501248	hsa-miR-381-5p
20501249	hsa-miR-381-3p
20501250	hsa-miR-382-5p
20501251	hsa-miR-382-3p
20501252	hsa-miR-383-5p
20501253	hsa-miR-383-3p
20501273	hsa-miR-340-5p
20501274	hsa-miR-340-3p
20501275	hsa-miR-330-5p
20501276	hsa-miR-330-3p
20501277	hsa-miR-328-5p
20501278	hsa-miR-328-3p
20501279	hsa-miR-342-5p
