,T cells CD4,T cells CD8,Treg,B cells,NK cells,Monocytes,Neutrophils,Erythroid,HSC/Progenitor,pDC,mDC
MZ1-T1,11.22,0.92,0.0,10.18,0.0,24.17,12.93,39.61,0.0,0.0,0.96
MZ1-T2,12.41,1.8,0.0,10.41,0.0,24.31,10.02,40.68,0.0,0.0,0.37
MZ2-T1,9.82,0.0,0.0,11.94,2.56,24.31,11.51,39.86,0.0,0.0,0.0
MZ2-T2,9.46,1.11,0.0,13.42,0.0,24.41,11.89,38.37,0.0,0.0,1.35
MZ3-T1,12.99,1.12,0.0,11.5,2.0,21.79,9.67,40.02,0.0,0.0,0.92
MZ3-T2,12.51,2.71,0.0,11.34,1.32,22.3,9.95,39.87,0.0,0.01,0.0
