Ontology,GO_ID,GO_Term,K_universe,k_DEG,P_value,odds_ratio,genes,FDR_BH
BP,GO:0006468,protein phosphorylation,617,1,0.3863275959937776,2.1210153482880756,PRKX,0.5349151329144612
BP,GO:0007049,cell cycle,632,1,0.39364828996018725,2.069514479181674,SGOL1,0.5379196825139061
BP,GO:0015031,protein transport,639,1,0.3970359561412164,2.0463094898831575,TOMM40L,0.5379196825139061
BP,GO:0006811,ion transport,673,1,0.41323443813743777,1.9404761904761905,TOMM40L,0.5539099915459272
CC,GO:0043231,intracellular membrane-bounded organelle,691,1,0.42164073562320126,1.88866930171278,CISD1,0.5592287651423512
BP,GO:0007264,small GTPase mediated signal transduction,723,1,0.4363016179701868,1.8029463611181062,SGOL1,0.5685000570110607
BP,GO:0006810,transport,1879,2,0.4376548057942292,1.394474465332217,"SLC52A3,TOMM40L",0.5685000570110607
MF,GO:0016301,kinase activity,756,1,0.4510480131537842,1.722155328115593,PRKX,0.5752421601066869
BP,GO:0016310,phosphorylation,760,1,0.45281017442888816,1.712839861061205,PRKX,0.5752421601066869
BP,GO:0055085,transmembrane transport,779,1,0.4611068108791697,1.6698995092311288,TOMM40L,0.5752421601066869
BP,GO:0044267,cellular protein metabolic process,779,1,0.4611068108791697,1.6698995092311288,PHC1,0.5752421601066869
MF,GO:0004930,G-protein coupled receptor activity,795,1,0.4679999940949895,1.635333180673231,OR2L3,0.5781176397643988
BP,GO:0030154,cell differentiation,819,1,0.47818185274240044,1.5860191153589687,PRKX,0.5849603247140044
CC,GO:0005730,nucleolus,832,1,0.4836189247428482,1.5604966633847501,DNTTIP2,0.5859229280538353
BP,GO:0007186,G-protein coupled receptor signaling pathway,973,1,0.5392141539009231,1.327534605312383,OR2L3,0.6462511684628223
MF,GO:0004871,signal transducer activity,985,1,0.543671617913168,1.310790835181079,OR2L3,0.6462511684628223
CC,GO:0005856,cytoskeleton,1170,1,0.607384971983354,1.0961583326852788,SGOL1,0.7152383782233889
CC,GO:0005654,nucleoplasm,2589,2,0.6138850002899301,0.9856240911517293,"PHC1,SGOL1",0.7161991670049184
CC,GO:0016021,integral component of membrane,5380,4,0.6295621693427256,0.9392230576441103,"CISD1,OR2L3,SLC52A3,TOMM40L",0.7277507645613158
MF,GO:0003676,nucleic acid binding,1313,1,0.650707408151755,0.9717294900221729,R3HDM1,0.745355758428374
CC,GO:0005887,integral component of plasma membrane,1435,1,0.6840170253551645,0.8851908203372638,SLC52A3,0.7764517585112678
MF,GO:0005524,ATP binding,1467,1,0.6922375427658376,0.8648765968001985,PRKX,0.7787672356115672
BP,GO:0044281,small molecule metabolic process,1544,1,0.7111882225160981,0.8194485359099747,SLC52A3,0.7930063366108705
CC,GO:0005622,intracellular,1597,1,0.7235780186266292,0.7907268170426065,PLEKHM1P,0.7962545100565732
CC,GO:0005829,cytosol,3174,2,0.7270557696842425,0.7862847534978683,"SGOL1,SH2D1A",0.7962545100565732
CC,GO:0005634,nucleus,6096,4,0.7330597076711309,0.8040916473718769,"DNTTIP2,PHC1,PRKX,SGOL1",0.7962545100565732
BP,GO:0007165,signal transduction,1995,1,0.8016630184871303,0.6238260235251208,OR2L3,0.8595430812321229
MF,GO:0000166,nucleotide binding,2015,1,0.804968917344369,0.6171797418073486,PRKX,0.8595430812321229
MF,GO:0003677,DNA binding,2267,1,0.8423603458192974,0.5434887266308273,PHC1,0.8919109543969032
BP,GO:0006351,"transcription, DNA-templated",2367,1,0.8552077952164451,0.518596787827557,DNTTIP2,0.8923278968886144
MF,GO:0005515,protein binding,8747,5,0.859294204254965,0.6551386664633061,"PHC1,PRKX,RABGGTB,SGOL1,SH2D1A",0.8923278968886144
CC,GO:0005886,plasma membrane,4271,2,0.8675762379966983,0.5597608450735647,"OR2L3,SLC52A3",0.8923278968886144
BP,GO:0006355,"regulation of transcription, DNA-templated",2503,1,0.8710819945817426,0.4879369231887217,DNTTIP2,0.8923278968886144
CC,GO:0070062,extracellular exosome,2756,1,0.8962917953555757,0.43895396799208053,CISD1,0.90513687770818
CC,GO:0016020,membrane,7835,4,0.897953251694623,0.5787793452472965,"CISD1,OR2L3,SLC52A3,TOMM40L",0.90513687770818
CC,GO:0005737,cytoplasm,6419,3,0.9062444103202093,0.5364089775561097,"PRKX,SGOL1,SH2D1A",0.9062444103202093
