Gene,logFC,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,consistent_direction
IGLV1-40,1.0300066666666667,1.3320500000000002,0.6895800000000001,1.06839,6.40691137208936,0.00011686041406690433,0.965529473937469,0.031241962203170215,True
LOC100128751,-0.9083133333333335,-1.1320200000000002,-0.7713000000000001,-0.8216200000000002,-6.2658169400923915,0.00013835722575859227,0.965529473937469,0.01507245340000758,True
PLEKHM1P,-0.9914299999999999,-0.7237800000000001,-0.86894,-1.38157,-6.039189447274476,0.00018243329318298857,0.965529473937469,0.03819423296676226,True
FAM91A1,-0.8152300000000002,-0.9767299999999999,-0.7810000000000006,-0.6879600000000003,-5.791641339713532,0.0002486777501531054,0.965529473937469,0.010721747111476871,True
LOC100131174,0.7479266666666667,0.77823,0.7689700000000002,0.6965799999999999,5.51795951465434,0.00035363757857710324,0.965529473937469,0.0011889247089366215,True
UBE2Q2L,0.7604733333333332,0.67357,0.9459599999999997,0.6618900000000001,5.362135284803357,0.0004341480244414757,0.965529473937469,0.014567981176902427,True
SLED1,-0.7127033333333331,-0.7866599999999999,-0.6368199999999997,-0.7146299999999997,-5.220684895115842,0.000524549439552069,0.965529473937469,0.003665045549706118,True
TOMM40L,-0.7035966666666665,-0.6591200000000002,-0.5892899999999996,-0.8623799999999999,-5.0133517954460345,0.0006957242833976333,0.965529473937469,0.013283553758556353,True
PHC1,-0.6829833333333335,-0.49818000000000007,-0.6578100000000002,-0.89296,-4.7010445648356365,0.00107714255352987,0.965529473937469,0.02704414451682622,True
IGKV2-29,-0.63825,-0.7495799999999999,-0.56508,-0.60009,-4.639194069808657,0.0011765175973472669,0.965529473937469,0.007765794869726993,True
SH2D1A,-0.6347599999999995,-0.6209399999999996,-0.5558299999999994,-0.7275099999999997,-4.632552813079852,0.0011877580594633033,0.965529473937469,0.006157087266496893,True
MIR339,0.6830066666666665,0.5041199999999995,0.95669,0.5882100000000001,4.557511463414107,0.0013230681095273884,0.965529473937469,0.03899807106063809,True
RABGGTB,-0.6876633333333332,-0.8408900000000004,-0.8312099999999996,-0.39088999999999974,-4.529057848907626,0.0013786079560783179,0.965529473937469,0.04355841057974854,True
DNTTIP2,-0.6340466666666669,-0.5493999999999999,-0.8204300000000004,-0.5323100000000003,-4.46835014367512,0.0015056133137841463,0.965529473937469,0.020983958745901202,True
CISD1,0.6165833333333334,0.6539600000000001,0.7145500000000001,0.48124,4.438626209423448,0.0015723058222630647,0.965529473937469,0.012607845141659437,True
LOC440602,0.6196233333333333,0.7699,0.4894399999999999,0.5995299999999999,4.416332891970566,0.0016243935848967155,0.965529473937469,0.01689756288513883,True
SLC52A3,0.6406866666666667,0.59653,0.8690300000000001,0.4565,4.375448519858902,0.0017247649439567682,0.965529473937469,0.03392847861237242,True
R3HDM1,-0.6115266666666667,-0.42620000000000013,-0.6014200000000001,-0.8069599999999997,-4.232090358416667,0.0021323288691300463,0.965529473937469,0.030882931311101015,True
SGOL1,-0.6245733333333332,-0.69923,-0.37480999999999987,-0.7996799999999997,-4.227398575507005,0.002147289918838089,0.965529473937469,0.039645612784724955,True
LOC100128653,0.6416166666666667,0.6261700000000001,0.90717,0.39151000000000014,4.221935864909329,0.002164850102099902,0.965529473937469,0.04996103547629216,True
PRKX,-0.5872866666666668,-0.69543,-0.44191,-0.6245200000000004,-4.208242772383041,0.0022095420422246774,0.965529473937469,0.01613476563902944,True
OR2L3,-0.6076099999999999,-0.3567899999999997,-0.7165700000000002,-0.7494699999999999,-4.125410069673456,0.002501672581653115,0.965529473937469,0.040274221798001913,True
LOC100996579,0.5879899999999999,0.7611999999999999,0.41002000000000005,0.5927499999999999,4.108727863034632,0.0025653223614152216,0.965529473937469,0.02847811824909202,True
