Gene,logFC,P.Value,adj.P.Val,diff_MZ1,diff_MZ2,diff_MZ3,Revised status
TOMM40L,-0.703596666666667,0.0006965668000718,0.965864665352879,-0.65912,-0.58929,-0.86238,Exploratory only
PHC1,-0.682983333333333,0.0010783214249853,0.965864665352879,-0.49818,-0.65781,-0.89296,Exploratory only
CISD1,0.616583333333333,0.0015741305419868,0.965864665352879,0.65396,0.71455,0.48124,Exploratory only
SGOL1,-0.624573333333333,0.0021494313939151,0.965864665352879,-0.69923,-0.37481,-0.79968,Exploratory only
PRKX,-0.587286666666667,0.0022120051169527,0.965864665352879,-0.69543,-0.44191,-0.62452,Exploratory only
