Dataset,Features tested,BH-FDR < 0.05,Dual-test exploratory candidates,Moderated-test-only candidates,Minimum BH-FDR
mRNA,29383,0,23,114,0.965864665352879
miRNA,4422,1,8,30,0.0017954073605267
