Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0046167,glycerol-3-phosphate biosynthetic process,1,57,3,18514,164.77678571428572,0.009208342558223642,GK5,0.09599606660729448,False,True
BP,GO:0046185,aldehyde catabolic process,1,57,3,18514,164.77678571428572,0.009208342558223642,ALDH3B1,0.09599606660729448,False,True
BP,GO:0051645,Golgi localization,1,57,3,18514,164.77678571428572,0.009208342558223642,HOOK3,0.09599606660729448,False,True
BP,GO:0070232,regulation of T cell apoptotic process,1,57,3,18514,164.77678571428572,0.009208342558223642,JAK3,0.09599606660729448,False,True
BP,GO:0050776,regulation of immune response,3,57,144,18514,7.2167060677698975,0.009924738547649883,KLRF1;SH2D1A;SIGLEC7,0.09599606660729448,False,False
MF,GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",1,57,4,18514,109.8452380952381,0.01225923794335579,TFB2M,0.09599606660729448,False,True
MF,GO:0004370,glycerol kinase activity,1,57,4,18514,109.8452380952381,0.01225923794335579,GK5,0.09599606660729448,False,True
MF,GO:0004663,Rab geranylgeranyltransferase activity,1,57,4,18514,109.8452380952381,0.01225923794335579,RABGGTB,0.09599606660729448,False,True
CC,GO:0005658,alpha DNA polymerase:primase complex,1,57,4,18514,109.8452380952381,0.01225923794335579,HELB,0.09599606660729448,False,True
CC,GO:0005968,Rab-protein geranylgeranyltransferase complex,1,57,4,18514,109.8452380952381,0.01225923794335579,RABGGTB,0.09599606660729448,False,True
BP,GO:0007260,tyrosine phosphorylation of STAT protein,1,57,4,18514,109.8452380952381,0.01225923794335579,JAK3,0.09599606660729448,False,True
BP,GO:0033522,histone H2A ubiquitination,1,57,4,18514,109.8452380952381,0.01225923794335579,UBE2A,0.09599606660729448,False,True
BP,GO:0034454,microtubule anchoring at centrosome,1,57,4,18514,109.8452380952381,0.01225923794335579,HOOK3,0.09599606660729448,False,True
BP,GO:0035771,interleukin-4-mediated signaling pathway,1,57,4,18514,109.8452380952381,0.01225923794335579,JAK3,0.09599606660729448,False,True
BP,GO:0045132,meiotic chromosome segregation,1,57,4,18514,109.8452380952381,0.01225923794335579,SGOL1,0.09599606660729448,False,True
CC,GO:0045298,tubulin complex,1,57,4,18514,109.8452380952381,0.01225923794335579,SNORA31,0.09599606660729448,False,True
MF,GO:0045569,TRAIL binding,1,57,4,18514,109.8452380952381,0.01225923794335579,TNFRSF10D,0.09599606660729448,False,True
MF,GO:0051427,hormone receptor binding,1,57,4,18514,109.8452380952381,0.01225923794335579,JAK3,0.09599606660729448,False,True
BP,GO:2000117,negative regulation of cysteine-type endopeptidase activity,1,57,4,18514,109.8452380952381,0.01225923794335579,PCID2,0.09599606660729448,False,True
CC,GO:0000228,nuclear chromosome,2,57,59,18514,11.738437001594896,0.014241136355889741,HIST1H4B;HIST1H4D,0.09848854586623686,False,False
BP,GO:0034599,cellular response to oxidative stress,2,57,60,18514,11.535423197492163,0.014703381895988984,ALDH3B1;COQ7,0.09848854586623686,False,False
BP,GO:0006068,ethanol catabolic process,1,57,5,18514,82.37946428571429,0.015300903174972683,ALDH3B1,0.09848854586623686,False,True
