Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
TTC31,0.284543333333333,1.21802465252006,0.54423,0.16725,0.14215,1.92103625750037,0.0864644953375111,0.965864665352879,0.16015481168911774,-4.31618599286916,True,False,False,False
RAB3GAP2,-0.266603333333333,1.20297222525855,-0.19066,-0.40371,-0.20544,-1.92069443735773,0.0865120574459988,0.965864665352879,0.060421790614604336,-4.31630722818655,True,False,False,False
CHST4,0.295946666666667,1.22769029800583,0.48785,-0.0186200000000001,0.41861,1.92067110152709,0.0865153053789063,0.965864665352879,0.20293264978243225,-4.31631550485331,False,False,False,False
LOC105369381,-0.331203333333333,1.2580622705457,-0.73959,0.05335,-0.30737,-1.92030896504909,0.0865657230864244,0.965864665352879,0.28532942805344025,-4.31644394630717,False,False,False,False
LOC101929567,0.27808,1.2125800569133,0.33834,0.43487,0.0610300000000001,1.91964562140005,0.0866581476322709,0.965864665352879,0.13115629494085285,-4.31667922003587,True,False,False,False
MXD1,-0.269656666666666,1.20552090304504,-0.36221,-0.34214,-0.10462,-1.91962916720832,0.0866604413991345,0.965864665352879,0.08261152809237592,-4.3166850560007,True,False,False,False
L3MBTL3,-0.405933333333333,1.32494579013465,0.0597500000000002,-1.08587,-0.19168,-1.91961987800033,0.0866617363696794,0.965864665352879,0.36329566686142245,-4.31668835069289,False,False,False,False
UBL7-AS1,-0.4737,1.38866634069189,-1.339,-0.19147,0.10937,-1.91938080298575,0.0866950711214106,0.965864665352879,0.395393218230615,-4.31677314580151,False,False,False,False
FKBP2,0.305726666666667,1.23604105811323,0.0820099999999999,0.17215,0.66302,1.91921258883246,0.086718532836287,0.965864665352879,0.2324437924584536,-4.31683280808588,True,False,False,False
LINC01362,0.289593333333333,1.22229568859844,0.57747,0.13937,0.15194,1.91886570337497,0.0867669336888497,0.965864665352879,0.18197603101949167,-4.31695584186219,True,False,False,False
MAPT,-0.302386666666667,1.23318279501807,-0.13421,-0.64972,-0.12323,-1.91841238162602,0.086830223978193,0.965864665352879,0.2238275780162987,-4.31711662711702,True,False,False,False
TARDBP,-0.268306666666667,1.20439336606262,-0.12899,-0.39961,-0.27632,-1.91774310988707,0.0869237436094727,0.965864665352879,0.07549929629300593,-4.31735400708527,True,False,False,False
LOC100132781,-0.294846666666667,1.22675458769736,-0.01251,-0.31634,-0.55569,-1.91738582702515,0.0869737068460073,0.965864665352879,0.20148114302423084,-4.31748073009376,True,False,False,False
