Gene,GO_ID,GO_term,Ontology
OR4F5,GO:0007186,G-protein coupled receptor signaling pathway,BP
OR4F5,GO:0050907,detection of chemical stimulus involved in sensory perception,BP
OR4F5,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,BP
OR4F5,GO:0007165,signal transduction,BP
OR4F5,GO:0007608,sensory perception of smell,BP
OR4F5,GO:0050896,response to stimulus,BP
OR4F5,GO:0005886,plasma membrane,CC
OR4F5,GO:0016021,integral component of membrane,CC
OR4F5,GO:0016020,membrane,CC
OR4F5,GO:0004888,transmembrane signaling receptor activity,MF
OR4F5,GO:0004930,G-protein coupled receptor activity,MF
OR4F5,GO:0004984,olfactory receptor activity,MF
OR4F5,GO:0004871,signal transducer activity,MF
OR4F29,GO:0007186,G-protein coupled receptor signaling pathway,BP
OR4F29,GO:0050907,detection of chemical stimulus involved in sensory perception,BP
OR4F29,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,BP
OR4F29,GO:0007165,signal transduction,BP
OR4F29,GO:0007608,sensory perception of smell,BP
OR4F29,GO:0050896,response to stimulus,BP
OR4F29,GO:0005886,plasma membrane,CC
OR4F29,GO:0016021,integral component of membrane,CC
OR4F29,GO:0016020,membrane,CC
OR4F29,GO:0004888,transmembrane signaling receptor activity,MF
OR4F29,GO:0004930,G-protein coupled receptor activity,MF
OR4F29,GO:0004984,olfactory receptor activity,MF
OR4F29,GO:0004871,signal transducer activity,MF
SAMD11,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,BP
SAMD11,GO:1903506,regulation of nucleic acid-templated transcription,BP
SAMD11,GO:0005634,nucleus,CC
SAMD11,GO:0032093,SAM domain binding,MF
SAMD11,GO:0042731,PH domain binding,MF
SAMD11,GO:0043621,protein self-association,MF
SAMD11,GO:0003713,transcription coactivator activity,MF
KLHL17,GO:0007420,brain development,BP
KLHL17,GO:0016567,protein ubiquitination,BP
KLHL17,GO:0030036,actin cytoskeleton organization,BP
KLHL17,GO:0005615,extracellular space,CC
KLHL17,GO:0014069,postsynaptic density,CC
KLHL17,GO:0015629,actin cytoskeleton,CC
KLHL17,GO:0030054,cell junction,CC
KLHL17,GO:0031463,Cul3-RING ubiquitin ligase complex,CC
KLHL17,GO:0032839,dendrite cytoplasm,CC
KLHL17,GO:0043025,neuronal cell body,CC
KLHL17,GO:0045211,postsynaptic membrane,CC
KLHL17,GO:0005886,plasma membrane,CC
KLHL17,GO:0016020,membrane,CC
KLHL17,GO:0045202,synapse,CC
KLHL17,GO:0004842,ubiquitin-protein transferase activity,MF
KLHL17,GO:0031208,POZ domain binding,MF
KLHL17,GO:0032947,protein complex scaffold,MF
KLHL17,GO:0051015,actin filament binding,MF
KLHL17,GO:0003779,actin binding,MF
PLEKHN1,GO:0005886,plasma membrane,CC
PLEKHN1,GO:0016020,membrane,CC
PLEKHN1,GO:0005515,protein binding,MF
ISG15,GO:0006281,DNA repair,BP
ISG15,GO:0016032,viral process,BP
ISG15,GO:0019221,cytokine-mediated signaling pathway,BP
ISG15,GO:0019941,modification-dependent protein catabolic process,BP
ISG15,GO:0019985,translesion synthesis,BP
ISG15,GO:0031397,negative regulation of protein ubiquitination,BP
ISG15,GO:0032020,ISG15-protein conjugation,BP
ISG15,GO:0032480,negative regulation of type I interferon production,BP
ISG15,GO:0032649,regulation of interferon-gamma production,BP
ISG15,GO:0034340,response to type I interferon,BP
ISG15,GO:0042742,defense response to bacterium,BP
ISG15,GO:0045071,negative regulation of viral genome replication,BP
ISG15,GO:0045087,innate immune response,BP
ISG15,GO:0045648,positive regulation of erythrocyte differentiation,BP
ISG15,GO:0051607,defense response to virus,BP
ISG15,GO:0060337,type I interferon signaling pathway,BP
ISG15,GO:0002376,immune system process,BP
ISG15,GO:0005576,extracellular region,CC
ISG15,GO:0005654,nucleoplasm,CC
ISG15,GO:0005829,cytosol,CC
ISG15,GO:0005737,cytoplasm,CC
ISG15,GO:0005515,protein binding,MF
ISG15,GO:0031386,protein tag,MF
AGRN,GO:0001523,retinoid metabolic process,BP
AGRN,GO:0005975,carbohydrate metabolic process,BP
AGRN,GO:0006024,glycosaminoglycan biosynthetic process,BP
AGRN,GO:0006027,glycosaminoglycan catabolic process,BP
AGRN,GO:0007009,plasma membrane organization,BP
AGRN,GO:0007165,signal transduction,BP
AGRN,GO:0007213,G-protein coupled acetylcholine receptor signaling pathway,BP
AGRN,GO:0007268,synaptic transmission,BP
AGRN,GO:0007411,axon guidance,BP
AGRN,GO:0007528,neuromuscular junction development,BP
AGRN,GO:0007603,"phototransduction, visible light",BP
AGRN,GO:0010469,regulation of receptor activity,BP
AGRN,GO:0030198,extracellular matrix organization,BP
AGRN,GO:0030203,glycosaminoglycan metabolic process,BP
AGRN,GO:0030204,chondroitin sulfate metabolic process,BP
AGRN,GO:0043113,receptor clustering,BP
AGRN,GO:0043525,positive regulation of neuron apoptotic process,BP
AGRN,GO:0043547,positive regulation of GTPase activity,BP
AGRN,GO:0044281,small molecule metabolic process,BP
AGRN,GO:0045162,clustering of voltage-gated sodium channels,BP
AGRN,GO:0045213,neurotransmitter receptor metabolic process,BP
AGRN,GO:0045887,positive regulation of synaptic growth at neuromuscular junction,BP
AGRN,GO:0045944,positive regulation of transcription from RNA polymerase II promoter,BP
AGRN,GO:0050808,synapse organization,BP
AGRN,GO:0051491,positive regulation of filopodium assembly,BP
AGRN,GO:0007275,multicellular organismal development,BP
AGRN,GO:0008582,regulation of synaptic growth at neuromuscular junction,BP
AGRN,GO:0030154,cell differentiation,BP
AGRN,GO:0005576,extracellular region,CC
AGRN,GO:0005605,basal lamina,CC
AGRN,GO:0005615,extracellular space,CC
AGRN,GO:0005737,cytoplasm,CC
AGRN,GO:0005796,Golgi lumen,CC
AGRN,GO:0005886,plasma membrane,CC
AGRN,GO:0009986,cell surface,CC
AGRN,GO:0016021,integral component of membrane,CC
AGRN,GO:0030054,cell junction,CC
AGRN,GO:0031012,extracellular matrix,CC
AGRN,GO:0043202,lysosomal lumen,CC
AGRN,GO:0045202,synapse,CC
AGRN,GO:0070062,extracellular exosome,CC
AGRN,GO:0005578,proteinaceous extracellular matrix,CC
AGRN,GO:0005604,basement membrane,CC
AGRN,GO:0016020,membrane,CC
AGRN,GO:0002162,dystroglycan binding,MF
AGRN,GO:0005200,structural constituent of cytoskeleton,MF
AGRN,GO:0005509,calcium ion binding,MF
AGRN,GO:0005515,protein binding,MF
AGRN,GO:0030548,acetylcholine receptor regulator activity,MF
AGRN,GO:0033691,sialic acid binding,MF
AGRN,GO:0035374,chondroitin sulfate binding,MF
AGRN,GO:0043236,laminin binding,MF
AGRN,GO:0043395,heparan sulfate proteoglycan binding,MF
AGRN,GO:0003674,molecular_function,MF
TTLL10,GO:0018094,protein polyglycylation,BP
TTLL10,GO:0006464,cellular protein modification process,BP
TTLL10,GO:0005515,protein binding,MF
TTLL10,GO:0005524,ATP binding,MF
TTLL10,GO:0070735,protein-glycine ligase activity,MF
TTLL10,GO:0000166,nucleotide binding,MF
B3GALT6,GO:0005975,carbohydrate metabolic process,BP
B3GALT6,GO:0006024,glycosaminoglycan biosynthetic process,BP
B3GALT6,GO:0006486,protein glycosylation,BP
B3GALT6,GO:0015012,heparan sulfate proteoglycan biosynthetic process,BP
B3GALT6,GO:0030203,glycosaminoglycan metabolic process,BP
B3GALT6,GO:0030204,chondroitin sulfate metabolic process,BP
B3GALT6,GO:0030206,chondroitin sulfate biosynthetic process,BP
B3GALT6,GO:0044281,small molecule metabolic process,BP
B3GALT6,GO:0000139,Golgi membrane,CC
B3GALT6,GO:0005797,Golgi medial cisterna,CC
B3GALT6,GO:0016020,membrane,CC
B3GALT6,GO:0016021,integral component of membrane,CC
B3GALT6,GO:0032580,Golgi cisterna membrane,CC
B3GALT6,GO:0005794,Golgi apparatus,CC
B3GALT6,GO:0008499,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity",MF
B3GALT6,GO:0035250,UDP-galactosyltransferase activity,MF
B3GALT6,GO:0047220,galactosylxylosylprotein 3-beta-galactosyltransferase activity,MF
B3GALT6,GO:0008378,galactosyltransferase activity,MF
B3GALT6,GO:0016740,transferase activity,MF
B3GALT6,GO:0016757,"transferase activity, transferring glycosyl groups",MF
SCNN1D,GO:0006814,sodium ion transport,BP
SCNN1D,GO:0034220,ion transmembrane transport,BP
SCNN1D,GO:0035725,sodium ion transmembrane transport,BP
SCNN1D,GO:0050896,response to stimulus,BP
SCNN1D,GO:0050909,sensory perception of taste,BP
SCNN1D,GO:0055085,transmembrane transport,BP
SCNN1D,GO:0006810,transport,BP
SCNN1D,GO:0006811,ion transport,BP
SCNN1D,GO:0005886,plasma membrane,CC
SCNN1D,GO:0015629,actin cytoskeleton,CC
SCNN1D,GO:0016020,membrane,CC
SCNN1D,GO:0016021,integral component of membrane,CC
SCNN1D,GO:0005515,protein binding,MF
SCNN1D,GO:0015280,ligand-gated sodium channel activity,MF
SCNN1D,GO:0005272,sodium channel activity,MF
PUSL1,GO:0001522,pseudouridine synthesis,BP
PUSL1,GO:0008033,tRNA processing,BP
PUSL1,GO:0009451,RNA modification,BP
PUSL1,GO:0043231,intracellular membrane-bounded organelle,CC
PUSL1,GO:0003723,RNA binding,MF
PUSL1,GO:0009982,pseudouridine synthase activity,MF
PUSL1,GO:0016853,isomerase activity,MF
CPTP,GO:0006665,sphingolipid metabolic process,BP
CPTP,GO:0006687,glycosphingolipid metabolic process,BP
CPTP,GO:0044281,small molecule metabolic process,BP
CPTP,GO:0046836,glycolipid transport,BP
CPTP,GO:1902389,ceramide 1-phosphate transport,BP
CPTP,GO:0006810,transport,BP
CPTP,GO:0006869,lipid transport,BP
CPTP,GO:0005634,nucleus,CC
CPTP,GO:0005640,nuclear outer membrane,CC
CPTP,GO:0005730,nucleolus,CC
CPTP,GO:0005737,cytoplasm,CC
CPTP,GO:0005794,Golgi apparatus,CC
CPTP,GO:0005829,cytosol,CC
CPTP,GO:0005886,plasma membrane,CC
CPTP,GO:0010008,endosome membrane,CC
CPTP,GO:0005768,endosome,CC
CPTP,GO:0016020,membrane,CC
CPTP,GO:0005543,phospholipid binding,MF
CPTP,GO:0005548,phospholipid transporter activity,MF
CPTP,GO:0051861,glycolipid binding,MF
CPTP,GO:1902387,ceramide 1-phosphate binding,MF
CPTP,GO:1902388,ceramide 1-phosphate transporter activity,MF
CPTP,GO:0008289,lipid binding,MF
CPTP,GO:0017089,glycolipid transporter activity,MF
TAS1R3,GO:0001582,detection of chemical stimulus involved in sensory perception of sweet taste,BP
TAS1R3,GO:0007186,G-protein coupled receptor signaling pathway,BP
TAS1R3,GO:0050916,sensory perception of sweet taste,BP
TAS1R3,GO:0050917,sensory perception of umami taste,BP
TAS1R3,GO:0007165,signal transduction,BP
TAS1R3,GO:0050896,response to stimulus,BP
TAS1R3,GO:0050909,sensory perception of taste,BP
TAS1R3,GO:0005886,plasma membrane,CC
TAS1R3,GO:0016021,integral component of membrane,CC
TAS1R3,GO:1903767,sweet taste receptor complex,CC
TAS1R3,GO:0016020,membrane,CC
TAS1R3,GO:0008527,taste receptor activity,MF
TAS1R3,GO:0033041,sweet taste receptor activity,MF
TAS1R3,GO:0046982,protein heterodimerization activity,MF
TAS1R3,GO:0004871,signal transducer activity,MF
TAS1R3,GO:0004930,G-protein coupled receptor activity,MF
LOC148413,GO:0005515,protein binding,MF
TMEM88B,GO:0016021,integral component of membrane,CC
TMEM88B,GO:0016020,membrane,CC
VWA1,GO:0030198,extracellular matrix organization,BP
VWA1,GO:0048266,behavioral response to pain,BP
VWA1,GO:0005604,basement membrane,CC
VWA1,GO:0005614,interstitial matrix,CC
VWA1,GO:0005615,extracellular space,CC
VWA1,GO:0070062,extracellular exosome,CC
VWA1,GO:0005576,extracellular region,CC
VWA1,GO:0005578,proteinaceous extracellular matrix,CC
VWA1,GO:0042802,identical protein binding,MF
ATAD3C,GO:0005524,ATP binding,MF
ATAD3C,GO:0000166,nucleotide binding,MF
ATAD3B,GO:0051301,cell division,BP
ATAD3B,GO:0005743,mitochondrial inner membrane,CC
ATAD3B,GO:0005739,mitochondrion,CC
ATAD3B,GO:0016020,membrane,CC
ATAD3B,GO:0005524,ATP binding,MF
ATAD3B,GO:0000166,nucleotide binding,MF
ATAD3A,GO:0016049,cell growth,BP
ATAD3A,GO:0043066,negative regulation of apoptotic process,BP
ATAD3A,GO:0005739,mitochondrion,CC
ATAD3A,GO:0005743,mitochondrial inner membrane,CC
ATAD3A,GO:0016021,integral component of membrane,CC
ATAD3A,GO:0042645,mitochondrial nucleoid,CC
ATAD3A,GO:0016020,membrane,CC
ATAD3A,GO:0005524,ATP binding,MF
ATAD3A,GO:0000166,nucleotide binding,MF
MIB2,GO:0007219,Notch signaling pathway,BP
MIB2,GO:0016567,protein ubiquitination,BP
MIB2,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,BP
MIB2,GO:0000151,ubiquitin ligase complex,CC
MIB2,GO:0005737,cytoplasm,CC
MIB2,GO:0005769,early endosome,CC
MIB2,GO:0005768,endosome,CC
MIB2,GO:0003779,actin binding,MF
MIB2,GO:0004842,ubiquitin-protein transferase activity,MF
MIB2,GO:0004871,signal transducer activity,MF
MIB2,GO:0005515,protein binding,MF
MIB2,GO:0008270,zinc ion binding,MF
MIB2,GO:0016874,ligase activity,MF
MIB2,GO:0061630,ubiquitin protein ligase activity,MF
MIB2,GO:0046872,metal ion binding,MF
MMP23B,GO:0000003,reproduction,BP
MMP23B,GO:0006508,proteolysis,BP
MMP23B,GO:0005578,proteinaceous extracellular matrix,CC
MMP23B,GO:0005622,intracellular,CC
MMP23B,GO:0005789,endoplasmic reticulum membrane,CC
MMP23B,GO:0016021,integral component of membrane,CC
MMP23B,GO:0005783,endoplasmic reticulum,CC
MMP23B,GO:0016020,membrane,CC
MMP23B,GO:0031012,extracellular matrix,CC
MMP23B,GO:0004222,metalloendopeptidase activity,MF
MMP23B,GO:0008237,metallopeptidase activity,MF
MMP23B,GO:0008270,zinc ion binding,MF
MMP23B,GO:0008233,peptidase activity,MF
MMP23B,GO:0016787,hydrolase activity,MF
MMP23B,GO:0046872,metal ion binding,MF
CALML6,GO:0005634,nucleus,CC
CALML6,GO:0005737,cytoplasm,CC
CALML6,GO:0005509,calcium ion binding,MF
CALML6,GO:0046872,metal ion binding,MF
GABRD,GO:0006810,transport,BP
GABRD,GO:0007165,signal transduction,BP
GABRD,GO:0007268,synaptic transmission,BP
GABRD,GO:0042391,regulation of membrane potential,BP
GABRD,GO:0050877,neurological system process,BP
GABRD,GO:1902476,chloride transmembrane transport,BP
GABRD,GO:0006811,ion transport,BP
GABRD,GO:0006821,chloride transport,BP
GABRD,GO:0034220,ion transmembrane transport,BP
GABRD,GO:0005887,integral component of plasma membrane,CC
GABRD,GO:0030054,cell junction,CC
GABRD,GO:0034707,chloride channel complex,CC
GABRD,GO:0043005,neuron projection,CC
GABRD,GO:0045202,synapse,CC
GABRD,GO:0045211,postsynaptic membrane,CC
GABRD,GO:1902711,GABA-A receptor complex,CC
GABRD,GO:0005886,plasma membrane,CC
GABRD,GO:0016020,membrane,CC
GABRD,GO:0016021,integral component of membrane,CC
GABRD,GO:0004890,GABA-A receptor activity,MF
GABRD,GO:0005230,extracellular ligand-gated ion channel activity,MF
GABRD,GO:0005254,chloride channel activity,MF
GABRD,GO:0005515,protein binding,MF
PRKCZ,GO:0000226,microtubule cytoskeleton organization,BP
PRKCZ,GO:0001954,positive regulation of cell-matrix adhesion,BP
PRKCZ,GO:0006468,protein phosphorylation,BP
PRKCZ,GO:0006954,inflammatory response,BP
PRKCZ,GO:0007165,signal transduction,BP
PRKCZ,GO:0007179,transforming growth factor beta receptor signaling pathway,BP
PRKCZ,GO:0007596,blood coagulation,BP
PRKCZ,GO:0007616,long-term memory,BP
PRKCZ,GO:0008284,positive regulation of cell proliferation,BP
PRKCZ,GO:0008286,insulin receptor signaling pathway,BP
PRKCZ,GO:0016477,cell migration,BP
PRKCZ,GO:0018105,peptidyl-serine phosphorylation,BP
PRKCZ,GO:0030010,establishment of cell polarity,BP
PRKCZ,GO:0030168,platelet activation,BP
PRKCZ,GO:0031333,negative regulation of protein complex assembly,BP
PRKCZ,GO:0031532,actin cytoskeleton reorganization,BP
PRKCZ,GO:0031584,activation of phospholipase D activity,BP
PRKCZ,GO:0032148,activation of protein kinase B activity,BP
PRKCZ,GO:0032753,positive regulation of interleukin-4 production,BP
PRKCZ,GO:0043066,negative regulation of apoptotic process,BP
PRKCZ,GO:0045630,positive regulation of T-helper 2 cell differentiation,BP
PRKCZ,GO:0046326,positive regulation of glucose import,BP
PRKCZ,GO:0046627,negative regulation of insulin receptor signaling pathway,BP
PRKCZ,GO:0046628,positive regulation of insulin receptor signaling pathway,BP
PRKCZ,GO:0047496,vesicle transport along microtubule,BP
PRKCZ,GO:0048010,vascular endothelial growth factor receptor signaling pathway,BP
PRKCZ,GO:0050732,negative regulation of peptidyl-tyrosine phosphorylation,BP
PRKCZ,GO:0051092,positive regulation of NF-kappaB transcription factor activity,BP
PRKCZ,GO:0051291,protein heterooligomerization,BP
PRKCZ,GO:0051346,negative regulation of hydrolase activity,BP
PRKCZ,GO:0051899,membrane depolarization,BP
PRKCZ,GO:0060081,membrane hyperpolarization,BP
PRKCZ,GO:0060291,long-term synaptic potentiation,BP
PRKCZ,GO:0070374,positive regulation of ERK1 and ERK2 cascade,BP
PRKCZ,GO:0070528,protein kinase C signaling,BP
PRKCZ,GO:0072659,protein localization to plasma membrane,BP
PRKCZ,GO:1990138,neuron projection extension,BP
PRKCZ,GO:2000463,positive regulation of excitatory postsynaptic potential,BP
PRKCZ,GO:2000553,positive regulation of T-helper 2 cell cytokine production,BP
PRKCZ,GO:2000664,positive regulation of interleukin-5 secretion,BP
PRKCZ,GO:2000667,positive regulation of interleukin-13 secretion,BP
PRKCZ,GO:2001181,positive regulation of interleukin-10 secretion,BP
PRKCZ,GO:0007166,cell surface receptor signaling pathway,BP
PRKCZ,GO:0016310,phosphorylation,BP
PRKCZ,GO:0032869,cellular response to insulin stimulus,BP
PRKCZ,GO:0034613,cellular protein localization,BP
PRKCZ,GO:0035556,intracellular signal transduction,BP
PRKCZ,GO:0050806,positive regulation of synaptic transmission,BP
PRKCZ,GO:0051222,positive regulation of protein transport,BP
PRKCZ,GO:0005635,nuclear envelope,CC
PRKCZ,GO:0005737,cytoplasm,CC
PRKCZ,GO:0005768,endosome,CC
PRKCZ,GO:0005815,microtubule organizing center,CC
PRKCZ,GO:0005829,cytosol,CC
PRKCZ,GO:0005886,plasma membrane,CC
PRKCZ,GO:0005911,cell-cell junction,CC
PRKCZ,GO:0005923,bicellular tight junction,CC
PRKCZ,GO:0016020,membrane,CC
PRKCZ,GO:0016324,apical plasma membrane,CC
PRKCZ,GO:0016363,nuclear matrix,CC
PRKCZ,GO:0030054,cell junction,CC
PRKCZ,GO:0031252,cell leading edge,CC
PRKCZ,GO:0031941,filamentous actin,CC
PRKCZ,GO:0031982,vesicle,CC
PRKCZ,GO:0035748,myelin sheath abaxonal region,CC
PRKCZ,GO:0043203,axon hillock,CC
PRKCZ,GO:0045121,membrane raft,CC
PRKCZ,GO:0045179,apical cortex,CC
PRKCZ,GO:0048471,perinuclear region of cytoplasm,CC
PRKCZ,GO:0070062,extracellular exosome,CC
PRKCZ,GO:0005634,nucleus,CC
PRKCZ,GO:0005938,cell cortex,CC
PRKCZ,GO:0043231,intracellular membrane-bounded organelle,CC
PRKCZ,GO:0043234,protein complex,CC
PRKCZ,GO:0004672,protein kinase activity,MF
PRKCZ,GO:0004674,protein serine/threonine kinase activity,MF
PRKCZ,GO:0004697,protein kinase C activity,MF
PRKCZ,GO:0005515,protein binding,MF
PRKCZ,GO:0005524,ATP binding,MF
PRKCZ,GO:0015459,potassium channel regulator activity,MF
PRKCZ,GO:0019901,protein kinase binding,MF
PRKCZ,GO:0019904,protein domain specific binding,MF
PRKCZ,GO:0043274,phospholipase binding,MF
PRKCZ,GO:0043560,insulin receptor substrate binding,MF
PRKCZ,GO:0046872,metal ion binding,MF
PRKCZ,GO:0071889,14-3-3 protein binding,MF
PRKCZ,GO:0000166,nucleotide binding,MF
PRKCZ,GO:0016301,kinase activity,MF
PRKCZ,GO:0016740,transferase activity,MF
SKI,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,BP
SKI,GO:0001843,neural tube closure,BP
SKI,GO:0002089,lens morphogenesis in camera-type eye,BP
SKI,GO:0006351,"transcription, DNA-templated",BP
SKI,GO:0006367,transcription initiation from RNA polymerase II promoter,BP
SKI,GO:0007179,transforming growth factor beta receptor signaling pathway,BP
SKI,GO:0008283,cell proliferation,BP
SKI,GO:0008285,negative regulation of cell proliferation,BP
SKI,GO:0009948,anterior/posterior axis specification,BP
SKI,GO:0010467,gene expression,BP
SKI,GO:0010626,negative regulation of Schwann cell proliferation,BP
SKI,GO:0014902,myotube differentiation,BP
SKI,GO:0021772,olfactory bulb development,BP
SKI,GO:0022011,myelination in peripheral nervous system,BP
SKI,GO:0030177,positive regulation of Wnt signaling pathway,BP
SKI,GO:0030326,embryonic limb morphogenesis,BP
SKI,GO:0030509,BMP signaling pathway,BP
SKI,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,BP
SKI,GO:0030514,negative regulation of BMP signaling pathway,BP
SKI,GO:0031064,negative regulation of histone deacetylation,BP
SKI,GO:0032926,negative regulation of activin receptor signaling pathway,BP
SKI,GO:0035019,somatic stem cell population maintenance,BP
SKI,GO:0042981,regulation of apoptotic process,BP
SKI,GO:0043010,camera-type eye development,BP
SKI,GO:0043388,positive regulation of DNA binding,BP
SKI,GO:0043585,nose morphogenesis,BP
SKI,GO:0045668,negative regulation of osteoblast differentiation,BP
SKI,GO:0045944,positive regulation of transcription from RNA polymerase II promoter,BP
SKI,GO:0048147,negative regulation of fibroblast proliferation,BP
SKI,GO:0048593,camera-type eye morphogenesis,BP
SKI,GO:0048741,skeletal muscle fiber development,BP
SKI,GO:0048870,cell motility,BP
SKI,GO:0060021,palate development,BP
SKI,GO:0060041,retina development in camera-type eye,BP
SKI,GO:0060325,face morphogenesis,BP
SKI,GO:0060349,bone morphogenesis,BP
SKI,GO:0060395,SMAD protein signal transduction,BP
SKI,GO:0070207,protein homotrimerization,BP
SKI,GO:0005634,nucleus,CC
SKI,GO:0005654,nucleoplasm,CC
SKI,GO:0005667,transcription factor complex,CC
SKI,GO:0005737,cytoplasm,CC
SKI,GO:0005813,centrosome,CC
SKI,GO:0016604,nuclear body,CC
SKI,GO:0016605,PML body,CC
SKI,GO:0017053,transcriptional repressor complex,CC
SKI,GO:0043234,protein complex,CC
SKI,GO:0003682,chromatin binding,MF
SKI,GO:0003714,transcription corepressor activity,MF
SKI,GO:0005515,protein binding,MF
SKI,GO:0008270,zinc ion binding,MF
SKI,GO:0019901,protein kinase binding,MF
SKI,GO:0019904,protein domain specific binding,MF
SKI,GO:0031625,ubiquitin protein ligase binding,MF
SKI,GO:0046332,SMAD binding,MF
SKI,GO:0046811,histone deacetylase inhibitor activity,MF
SKI,GO:0070491,repressing transcription factor binding,MF
RER1,GO:0006890,"retrograde vesicle-mediated transport, Golgi to ER",BP
RER1,GO:0071340,skeletal muscle acetylcholine-gated channel clustering,BP
RER1,GO:0090004,positive regulation of establishment of protein localization to plasma membrane,BP
RER1,GO:0007528,neuromuscular junction development,BP
RER1,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,CC
RER1,GO:0005794,Golgi apparatus,CC
RER1,GO:0009986,cell surface,CC
RER1,GO:0030173,integral component of Golgi membrane,CC
RER1,GO:0000139,Golgi membrane,CC
RER1,GO:0016020,membrane,CC
RER1,GO:0016021,integral component of membrane,CC
RER1,GO:0033130,acetylcholine receptor binding,MF
RER1,GO:0003674,molecular_function,MF
PLCH2,GO:0016042,lipid catabolic process,BP
PLCH2,GO:0035556,intracellular signal transduction,BP
PLCH2,GO:0043647,inositol phosphate metabolic process,BP
PLCH2,GO:0044281,small molecule metabolic process,BP
PLCH2,GO:0046488,phosphatidylinositol metabolic process,BP
PLCH2,GO:0008152,metabolic process,BP
PLCH2,GO:0006629,lipid metabolic process,BP
PLCH2,GO:0007165,signal transduction,BP
PLCH2,GO:0008150,biological_process,BP
PLCH2,GO:0005737,cytoplasm,CC
PLCH2,GO:0005886,plasma membrane,CC
PLCH2,GO:0005622,intracellular,CC
PLCH2,GO:0005575,cellular_component,CC
PLCH2,GO:0016020,membrane,CC
PLCH2,GO:0004435,phosphatidylinositol phospholipase C activity,MF
PLCH2,GO:0004871,signal transducer activity,MF
PLCH2,GO:0005509,calcium ion binding,MF
PLCH2,GO:0004629,phospholipase C activity,MF
PLCH2,GO:0003674,molecular_function,MF
PLCH2,GO:0008081,phosphoric diester hydrolase activity,MF
PLCH2,GO:0016787,hydrolase activity,MF
PLCH2,GO:0046872,metal ion binding,MF
TNFRSF14,GO:0002741,positive regulation of cytokine secretion involved in immune response,BP
TNFRSF14,GO:0006954,inflammatory response,BP
TNFRSF14,GO:0006955,immune response,BP
TNFRSF14,GO:0007166,cell surface receptor signaling pathway,BP
TNFRSF14,GO:0007275,multicellular organismal development,BP
TNFRSF14,GO:0031295,T cell costimulation,BP
TNFRSF14,GO:0032496,response to lipopolysaccharide,BP
TNFRSF14,GO:0033209,tumor necrosis factor-mediated signaling pathway,BP
TNFRSF14,GO:0042127,regulation of cell proliferation,BP
TNFRSF14,GO:0042981,regulation of apoptotic process,BP
TNFRSF14,GO:0043410,positive regulation of MAPK cascade,BP
TNFRSF14,GO:0046642,negative regulation of alpha-beta T cell proliferation,BP
TNFRSF14,GO:0046718,viral entry into host cell,BP
TNFRSF14,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,BP
TNFRSF14,GO:0050829,defense response to Gram-negative bacterium,BP
TNFRSF14,GO:0050830,defense response to Gram-positive bacterium,BP
TNFRSF14,GO:0097190,apoptotic signaling pathway,BP
TNFRSF14,GO:2000406,positive regulation of T cell migration,BP
TNFRSF14,GO:0016032,viral process,BP
TNFRSF14,GO:0005886,plasma membrane,CC
TNFRSF14,GO:0005887,integral component of plasma membrane,CC
TNFRSF14,GO:0009897,external side of plasma membrane,CC
TNFRSF14,GO:0016020,membrane,CC
TNFRSF14,GO:0016021,integral component of membrane,CC
TNFRSF14,GO:0001618,virus receptor activity,MF
TNFRSF14,GO:0005031,tumor necrosis factor-activated receptor activity,MF
TNFRSF14,GO:0005515,protein binding,MF
TNFRSF14,GO:0031625,ubiquitin protein ligase binding,MF
FAM213B,GO:0001516,prostaglandin biosynthetic process,BP
FAM213B,GO:0019369,arachidonic acid metabolic process,BP
FAM213B,GO:0019371,cyclooxygenase pathway,BP
FAM213B,GO:0044281,small molecule metabolic process,BP
FAM213B,GO:0055114,oxidation-reduction process,BP
FAM213B,GO:0006629,lipid metabolic process,BP
FAM213B,GO:0006631,fatty acid metabolic process,BP
FAM213B,GO:0006633,fatty acid biosynthetic process,BP
FAM213B,GO:0006693,prostaglandin metabolic process,BP
FAM213B,GO:0005737,cytoplasm,CC
FAM213B,GO:0005783,endoplasmic reticulum,CC
FAM213B,GO:0005829,cytosol,CC
FAM213B,GO:0043209,myelin sheath,CC
FAM213B,GO:0070062,extracellular exosome,CC
FAM213B,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",MF
FAM213B,GO:0047017,prostaglandin-F synthase activity,MF
FAM213B,GO:0016491,oxidoreductase activity,MF
ACTRT2,GO:0005737,cytoplasm,CC
ACTRT2,GO:0005856,cytoskeleton,CC
PRDM16,GO:0000122,negative regulation of transcription from RNA polymerase II promoter,BP
PRDM16,GO:0006325,chromatin organization,BP
PRDM16,GO:0006351,"transcription, DNA-templated",BP
